valid_time,number,expver,e,e_mm
1955-01-01 06:00:00,0,0001,-0.003610215492350445,111.9166802628638
1955-02-01 06:00:00,0,0001,-0.0038221879758086343,107.02126332264177
1955-03-01 06:00:00,0,0001,-0.003270467275267234,101.38448553328425
1955-04-01 06:00:00,0,0001,-0.0024574768522244435,73.7243055667333
1955-05-01 06:00:00,0,0001,-0.001239871280893852,38.43600970770941
1955-06-01 06:00:00,0,0001,-0.0007301350152242618,21.904050456727852
1955-07-01 06:00:00,0,0001,-0.0006909380641254024,21.419079987887475
1955-08-01 06:00:00,0,0001,-0.0009731040728716223,30.16622625902029
1955-09-01 06:00:00,0,0001,-0.0014378014374046503,43.13404312213951
1955-10-01 06:00:00,0,0001,-0.0012851225453192267,39.83879890489603
1955-11-01 06:00:00,0,0001,-0.0017381145830123032,52.143437490369095
1955-12-01 06:00:00,0,0001,-0.0027820421213350837,86.2433057613876
1956-01-01 06:00:00,0,0001,-0.0033580619962167157,104.09992188271819
1956-02-01 06:00:00,0,0001,-0.00376820109897556,109.27783187029125
1956-03-01 06:00:00,0,0001,-0.0034131500567428858,105.80765175902945
1956-04-01 06:00:00,0,0001,-0.002789506414051128,83.68519242153384
1956-05-01 06:00:00,0,0001,-0.00138890514330726,43.05605944252506
1956-06-01 06:00:00,0,0001,-0.0008093917224152839,24.281751672458515
1956-07-01 06:00:00,0,0001,-0.0007560020018993536,23.436062058879962
1956-08-01 06:00:00,0,0001,-0.0008374450310565678,25.960795962753604
1956-09-01 06:00:00,0,0001,-0.0012177318207014507,36.53195462104352
1956-10-01 06:00:00,0,0001,-0.0015430143148036952,47.833443758914555
1956-11-01 06:00:00,0,0001,-0.001749236302240758,52.47708906722274
1956-12-01 06:00:00,0,0001,-0.0031372266862553094,97.25402727391459
1957-01-01 06:00:00,0,0001,-0.003653353782511514,113.25396725785694
1957-02-01 06:00:00,0,0001,-0.0036349943426315016,101.77984159368205
1957-03-01 06:00:00,0,0001,-0.0033340857750739058,103.35665902729107
1957-04-01 06:00:00,0,0001,-0.002207198386134136,66.21595158402407
1957-05-01 06:00:00,0,0001,-0.0010948039540775716,33.93892257640472
1957-06-01 06:00:00,0,0001,-0.0007866489984152111,23.599469952456335
1957-07-01 06:00:00,0,0001,-0.0006453973891232185,20.00731906281977
1957-08-01 06:00:00,0,0001,-0.000589686871968529,18.280293031024403
1957-09-01 06:00:00,0,0001,-0.0008413591555509817,25.24077466652945
1957-10-01 06:00:00,0,0001,-0.0011244687493991356,34.858531231373206
1957-11-01 06:00:00,0,0001,-0.0018050226938028792,54.15068081408637
1957-12-01 06:00:00,0,0001,-0.0022075355428557066,68.4336018285269
1958-01-01 06:00:00,0,0001,-0.0039105908227631886,121.22831550565886
1958-02-01 06:00:00,0,0001,-0.003565304467669514,99.8285250947464
1958-03-01 06:00:00,0,0001,-0.0034683238375378856,107.51803896367446
1958-04-01 06:00:00,0,0001,-0.00201741231065953,60.5223693197859
1958-05-01 06:00:00,0,0001,-0.0009483191600441893,29.397893961369867
1958-06-01 06:00:00,0,0001,-0.0005396517038577398,16.189551115732193
1958-07-01 06:00:00,0,0001,-0.0005655162903222471,17.53100499998966
1958-08-01 06:00:00,0,0001,-0.0006815686534912013,21.128628258227238
1958-09-01 06:00:00,0,0001,-0.0009049907087079625,27.149721261238877
1958-10-01 06:00:00,0,0001,-0.0020241952416985972,62.750052492656515
1958-11-01 06:00:00,0,0001,-0.0021620311669220656,64.86093500766196
1958-12-01 06:00:00,0,0001,-0.0030411663692496826,94.27615744674016
1959-01-01 06:00:00,0,0001,-0.003468604117202304,107.52672763327142
1959-02-01 06:00:00,0,0001,-0.003631289701667966,101.67611164670305
1959-03-01 06:00:00,0,0001,-0.0034341407827190133,106.45836426428941
1959-04-01 06:00:00,0,0001,-0.002107738505043418,63.232155151302536
1959-05-01 06:00:00,0,0001,-0.0012936830277402685,40.104173859948325
1959-06-01 06:00:00,0,0001,-0.0007847055748688437,23.541167246065314
1959-07-01 06:00:00,0,0001,-0.0006657061638672277,20.63689107988406
1959-08-01 06:00:00,0,0001,-0.0013371879439197725,41.452826261512946
1959-09-01 06:00:00,0,0001,-0.0012807867000777142,38.42360100233143
1959-10-01 06:00:00,0,0001,-0.0013722588351457188,42.54002388951728
1959-11-01 06:00:00,0,0001,-0.0019741685899694822,59.225057699084466
1959-12-01 06:00:00,0,0001,-0.0029402844831248227,91.1488189768695
1960-01-01 06:00:00,0,0001,-0.0035743521481493047,110.80491659262844
1960-02-01 06:00:00,0,0001,-0.004051258439343654,117.48649474096595
